STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",2/28/1990,80,70,10.07,1250,1334,0,0,0,,54,39,,310,,,315,,16.1,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/1/1990,50,10,7.38,1752,1843,0,0,0,,54,34,,140,,,180,,14.1,,,13.9,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/2/1990,100,100,2.91,1327,529,0.46,0,0,,50,41,,130,,,270,,8.1,,,9.2,1,,,,,,,1,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/3/1990,60,70,7.83,2250,1603,0.09,0,0,,59,41,,330,,,315,,17.9,,,19.5,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/4/1990,0,0,7.38,250,307,0,0,0,,54,28,,310,,,315,,13,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/5/1990,20,40,5.37,2050,1655,0,0,0,,60,27,,110,,,135,,12.1,,,15,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/6/1990,60,60,5.59,2350,2239,0,0,0,,70,34,,130,,,135,,16.1,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/7/1990,80,80,9.17,2350,1531,0,0,0,,46,31,,130,,,135,,16.1,,,18.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/8/1990,100,100,7.16,1252,1418,0.02,0,0,,45,25,,110,,,135,,13,,,12.8,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/9/1990,80,90,8.05,1950,2000,0.02,0,0,,67,36,,240,,,225,,14.1,,,18.3,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/10/1990,30,40,7.61,50,11,0,0,0,,77,47,,260,,,270,,14.1,,,18.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/11/1990,50,60,7.38,1150,1153,0,0,0,,83,54,,270,,,270,,17,,,23,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/12/1990,80,90,9.84,1250,1138,0,0,0,,86,58,,260,,,270,,17,,,26.4,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/13/1990,80,80,6.71,50,1110,0,0,0,,86,60,,240,,,315,,14.1,,,17.2,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/14/1990,70,70,6.93,1450,1448,0,0,0,,86,52,,180,,,180,,17,,,25.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/15/1990,90,90,9.4,1550,1633,0,0,0,,76,59,,170,,,180,,14.1,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/16/1990,100,100,9.17,250,158,0.39,0,0,,72,64,,170,,,180,,16.1,,,21.9,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/17/1990,100,100,9.62,2350,2327,0.82,0,0,,66,52,,290,,,315,,19.9,,,32.2,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/18/1990,40,30,11.41,2350,728,0,0,0,,62,44,,290,,,270,,19.9,,,32.2,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/19/1990,100,100,6.71,1751,1734,0.12,0.4,0,,65,33,,310,,,315,,21,,,31.1,,,,,,,,,,,,,,1,,1,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/20/1990,60,60,15.21,1950,1944,0.09,1.1,2,,39,30,,310,,,315,,25.9,,,39.1,,,,,,,,,,,,,,,,1,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/21/1990,0,0,9.17,50,116,0,0,0,,60,31,,320,,,315,,17,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/22/1990,30,30,6.93,1650,1528,0,0,0,,70,29,,180,,,180,,19.9,,,28.9,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/23/1990,20,30,10.51,850,1247,0,0,0,,70,51,,290,,,315,,17,,,23,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/24/1990,100,100,9.17,550,550,0.09,0,0,,51,36,,140,,,135,,17.9,,,20.8,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/25/1990,100,100,6.04,2250,1945,0.34,0,0,,47,35,,320,,,315,,12.1,,,16.1,1,,,,,,,,,,,1,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/26/1990,60,60,8.95,2050,2106,0,0,0,,56,33,,340,,,360,,17,,,21.9,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",3/27/1990,0,0,4.7,2150,1603,0,0,0,,58,28,,10,,,45,,8.9,,,13.9,,,,,,,,,,,,,,,,,,,,,
